key_word,job_id,job_title,country,job_link,company,company_region,company_industry,company_size,experence_requirement,working_location,description,postedByHR
data scientist,6475275,Scientist (Data Analytics) / I²R (A*STAR) -18 / I2R / 0005,SG,https://www.jobstreet.com.sg/en/job/scientist-data-analytics-i2r-astar-18i2r0005-6475275?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6475266,Scientist (Data Analytics) / I²R (A*STAR) -17 / I2R / 0105,SG,https://www.jobstreet.com.sg/en/job/scientist-data-analytics-i2r-astar-17i2r0105-6475266?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6475256,Scientist (Data Analytics) / I²R (A*STAR) - 17 / I2R / 0101,SG,https://www.jobstreet.com.sg/en/job/scientist-data-analytics-i2r-astar-17i2r0101-6475256?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6475252,Scientist (Data Analytics) / I²R (A*STAR) -17 / I2R / 0102,SG,https://www.jobstreet.com.sg/en/job/scientist-data-analytics-i2r-astar-17i2r0102-6475252?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6475218,Scientist (Data Analytics) / I2R (A*STAR) - 17 / I2R / 0073,SG,https://www.jobstreet.com.sg/en/job/scientist-data-analytics-i2r-astar-17i2r0073-6475218?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6474805,Scientist (Data Analytics) / I²R (A*STAR) - 17 / I2R / 0106,SG,https://www.jobstreet.com.sg/en/job/scientist-data-analytics-i2r-astar-17i2r0106-6474805?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6507946,(Analysis) Data Scientist - (Listed IT MNC / $6K to $8.5K + GD BONUS / 5 Days / West),SG,https://www.jobstreet.com.sg/en/job/analysis-data-scientist-listed-it-mnc6k-to-85k-gd-bonus5-days-west-6507946?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6473755,Staff Data Scientist,SG,https://www.jobstreet.com.sg/en/job/staff-data-scientist-6473755?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6506644,"SVP / VP, Senior Data Scientist / Analyst, Strategic Planning & Support (Analytics), Institutional Banking Operations, Techn - (180001YL)",SG,https://www.jobstreet.com.sg/en/job/svpvp-senior-data-scientistanalyst-strategic-planning-support-analytics-institutional-banking-operations-techn-180001yl-6506644?fr=21&src=16&srcr=12,,,,,,,,False
data scientist,6506343,Data Scientist (Fresh / Experienced may apply),SG,https://www.jobstreet.com.sg/en/job/data-scientist-fresh-experienced-may-apply-6506343?fr=21&src=16&srcr=12,,,,,,,,False
